,influence_score,score_out,score_in,is_driver_regulator,is_MFVS_driver,is_Energy_driver,energy_score,is_TF,
MYC,6.423142528533936,7.149483680725098,3.517777919769287,TRUE,TRUE,TRUE,0.00021807120711213497,TRUE,1
HDAC2,6.019226837158204,6.834341049194336,2.758769989013672,TRUE,TRUE,TRUE,0.00027508140900634587,FALSE,2
ELF1,5.973927974700928,6.8697123527526855,2.3907904624938965,TRUE,TRUE,TRUE,0.00028555983562608244,TRUE,3
ZEB1,5.874125862121582,6.824948310852051,2.070836067199707,TRUE,TRUE,TRUE,0.0003262158407432008,TRUE,4
HNF4A,5.815921258926392,6.545390605926514,2.8980438709259033,TRUE,TRUE,TRUE,0.0004108299210909702,TRUE,5
FOS,5.123211431503296,5.52147912979126,3.5301406383514404,TRUE,TRUE,TRUE,0.0014084958110982596,TRUE,6
STAT3,5.11350827217102,5.533958435058594,3.4317076206207275,TRUE,TRUE,TRUE,0.0014789625156467908,TRUE,7
ATF3,5.095381832122802,5.697122573852539,2.6884188652038574,TRUE,TRUE,TRUE,0.0012479182051797994,TRUE,8
CTNNB1,5.079614925384521,5.31037712097168,4.156566143035889,TRUE,TRUE,TRUE,0.0022184470379371,FALSE,9
GATA3,4.866269826889038,5.460558891296387,2.4891135692596436,TRUE,TRUE,TRUE,0.001913011981626411,TRUE,10
PPARG,4.7576329708099365,5.1780009269714355,3.0761611461639404,TRUE,TRUE,TRUE,0.002372467816110229,TRUE,11
TCF7L2,4.633021879196167,4.821536064147949,3.878965139389038,TRUE,FALSE,TRUE,0.004424641610127876,TRUE,12
KLF5,4.5219651222229,4.695986747741699,3.825878620147705,TRUE,FALSE,TRUE,0.007926189970444914,TRUE,13
ETS1,4.469090366363526,4.969246864318848,2.4684643745422363,TRUE,TRUE,TRUE,0.003760942387742772,TRUE,14
NR3C1,4.364024257659912,4.665994644165039,3.1561427116394043,TRUE,TRUE,TRUE,0.004437792554475601,TRUE,15
