,influence_score,score_out,score_in,is_driver_regulator,is_MFVS_driver,is_Energy_driver,energy_score,is_TF,
JUND,6.0386035442352295,6.921237945556641,2.508065938949585,TRUE,TRUE,TRUE,0.0002608095827710293,TRUE,1
MXI1,5.97008261680603,6.8162431716918945,2.5854403972625732,TRUE,TRUE,TRUE,0.00024845019986785284,TRUE,2
FOXA1,5.7299652099609375,6.431186199188232,2.925081253051758,TRUE,TRUE,TRUE,0.0004166208104847132,TRUE,3
ELF1,5.723234081268311,6.5575690269470215,2.385894298553467,TRUE,TRUE,TRUE,0.00040067693587570976,TRUE,4
EGR1,5.722828912734985,6.396459579467773,3.028306245803833,TRUE,TRUE,TRUE,0.0005168575242735392,TRUE,5
FOSL2,5.61963610649109,6.322695732116699,2.8073976039886475,TRUE,TRUE,TRUE,0.0004896154941630255,TRUE,6
JUN,5.545304679870606,6.029942989349365,3.6067514419555664,TRUE,TRUE,TRUE,0.0007167558022219602,TRUE,7
NR2F2,5.525448274612427,6.275486469268799,2.5252954959869385,TRUE,TRUE,TRUE,0.0005638317803866332,TRUE,8
FOXP1,5.298005247116089,5.875138759613037,2.989471197128296,TRUE,TRUE,TRUE,0.0008444676536673174,TRUE,9
CEBPD,5.247927904129028,6.081910133361816,1.911998987197876,TRUE,TRUE,TRUE,0.0005853073170510697,TRUE,10
ZBTB7A,5.2360895633697515,6.065043926239014,1.9202721118927002,TRUE,TRUE,TRUE,0.000902211275111342,TRUE,11
SMAD2,5.152182388305664,5.416388511657715,4.095357894897461,TRUE,TRUE,TRUE,0.0018085699199210127,FALSE,12
ATF3,5.121553516387939,5.608718395233154,3.17289400100708,TRUE,TRUE,TRUE,0.001313147465008843,TRUE,13
SMC3,4.5346098899841305,5.056582450866699,2.4467196464538574,TRUE,FALSE,TRUE,0.002526643567541283,FALSE,14
CTBP2,4.53333911895752,5.083830833435059,2.3313722610473633,TRUE,TRUE,TRUE,0.0031349586676890067,FALSE,15
ETS1,4.309079122543335,4.689552307128906,2.78718638420105,TRUE,TRUE,TRUE,0.00434838330398848,TRUE,16
KLF5,4.276306200027466,4.4024739265441895,3.7716352939605713,TRUE,FALSE,TRUE,0.018404723190759982,TRUE,17
NR3C1,4.233638763427734,4.4684038162231445,3.2945785522460938,TRUE,TRUE,TRUE,0.004900685526105137,TRUE,18
EPAS1,4.167309379577636,4.562741756439209,2.5855798721313477,TRUE,FALSE,TRUE,0.004404350109692741,TRUE,19
SRC,4.10168046951294,4.145861625671387,3.9249558448791504,TRUE,TRUE,TRUE,0.01845549061842459,FALSE,20
IRF1,4.0618085861206055,4.327066898345947,3.0007753372192383,TRUE,TRUE,TRUE,0.0057545919565349666,TRUE,21
SOX9,3.9959089756011963,4.021202087402344,3.8947365283966064,TRUE,FALSE,TRUE,0.019791816683953845,TRUE,22
JUNB,3.9539395809173588,4.213868141174316,2.9142253398895264,TRUE,TRUE,TRUE,0.006226288881260462,TRUE,23
MAPK3,3.9257930278778073,4.084630012512207,3.29044508934021,TRUE,TRUE,TRUE,0.007290815722097877,FALSE,24
POU3F1,3.7880218029022217,4.205197334289551,2.1193196773529053,TRUE,TRUE,TRUE,0.008485627789941497,TRUE,25
KLF4,3.771179819107056,4.1051106452941895,2.4354565143585205,TRUE,TRUE,TRUE,0.009046424479698324,TRUE,26
IKZF3,3.7461929321289062,3.6819372177124023,4.003215789794922,TRUE,TRUE,TRUE,0.04093883546333803,TRUE,27
XBP1,3.6725969314575195,3.9769272804260254,2.455275535583496,TRUE,TRUE,TRUE,0.009404094137936981,TRUE,28
REL,3.6600552558898927,3.8291614055633545,2.983630657196045,TRUE,TRUE,TRUE,0.009483664013577696,TRUE,29
TGFBR2,3.6552733898162844,3.5835189819335938,3.942291021347046,TRUE,FALSE,TRUE,0.016092780770617113,FALSE,30
PIK3R1,3.652848958969116,3.5835189819335938,3.930168867111206,TRUE,FALSE,TRUE,0.017109928056732542,FALSE,31
DIAPH1,3.640624141693115,3.5835189819335938,3.869044780731201,TRUE,FALSE,TRUE,0.021129084684423993,FALSE,32
NKTR,3.6365224838256838,3.5835189819335938,3.848536491394043,TRUE,FALSE,TRUE,0.022915659338920386,FALSE,33
CDH1,3.6327483654022217,3.5835189819335938,3.8296658992767334,TRUE,FALSE,TRUE,0.02293946676503144,FALSE,34
QKI,3.631938314437866,3.5835189819335938,3.825615644454956,TRUE,FALSE,TRUE,0.02503045426659652,FALSE,35
AHI1,3.62661919593811,3.5835189819335938,3.7990200519561768,TRUE,FALSE,TRUE,0.027573882733020152,FALSE,36
IL13RA1,3.626154327392578,3.5835189819335938,3.7966957092285156,TRUE,FALSE,TRUE,0.027577417670054956,FALSE,37
MAP7,3.623509407043457,3.5835189819335938,3.78347110748291,TRUE,FALSE,TRUE,0.03066394149031032,FALSE,38
B2M,3.6232454776763916,3.5835189819335938,3.782151460647583,TRUE,FALSE,TRUE,0.03066617515415823,FALSE,39
TCF4,3.6225559234619142,3.672389507293701,3.4232215881347656,TRUE,TRUE,TRUE,0.011464886831613496,TRUE,40
POU2F2,3.596712017059326,3.9024150371551514,2.3738999366760254,TRUE,TRUE,TRUE,0.009585581017588841,TRUE,41
RORA,3.494558334350586,3.727884531021118,2.561253547668457,TRUE,TRUE,TRUE,0.01724264528577654,TRUE,42
NFKBIA,3.3379846572875977,3.3553996086120605,3.268324851989746,TRUE,TRUE,TRUE,0.016662167553948018,FALSE,43
TGFB1,3.178632974624634,3.229947805404663,2.9733736515045166,TRUE,TRUE,TRUE,0.019048128602475196,FALSE,44
IRF8,3.0498971462249758,3.3181045055389404,1.9770677089691162,TRUE,TRUE,TRUE,0.024579030361210112,TRUE,45
CREM,2.7538716793060303,2.6473028659820557,3.1801469326019287,TRUE,TRUE,TRUE,0.029807034293749722,TRUE,46
GTF2B,2.6567932605743407,2.489652156829834,3.325357675552368,TRUE,TRUE,TRUE,0.030523643673026853,TRUE,47
RPS27A,2.6077781677246095,2.3776235580444336,3.5283966064453125,TRUE,TRUE,TRUE,0.01070143403612507,FALSE,48
NCOA3,2.588593292236328,2.437721014022827,3.192082405090332,TRUE,TRUE,TRUE,0.02885490597622836,TRUE,49
RPS18,2.4742947101593016,2.341684103012085,3.004737138748169,TRUE,TRUE,TRUE,0.01533003283601721,FALSE,50
