,influence_score,score_out,score_in,is_driver_regulator,is_MFVS_driver,is_Energy_driver,energy_score,is_TF,
SMARCC1,6.424658155441285,7.1688432693481445,3.4479176998138428,TRUE,TRUE,TRUE,0.000181205090908229,FALSE,1
RAD21,6.413028144836426,7.001724720001221,4.058241844177246,TRUE,TRUE,TRUE,0.00024998197578440497,FALSE,2
MYC,6.376921272277833,6.978255271911621,3.971585273742676,TRUE,TRUE,TRUE,0.0002082895977911842,TRUE,3
JUND,6.32402195930481,7.164567470550537,2.9618399143218994,TRUE,TRUE,TRUE,0.00016998033642861893,TRUE,4
MYBL2,6.24815559387207,6.795343399047852,4.059404373168945,TRUE,TRUE,TRUE,0.00028848968225095377,TRUE,5
MXI1,6.227396583557129,7.048951148986816,2.941178321838379,TRUE,TRUE,TRUE,0.00018060147546377443,TRUE,6
HDAC2,6.202771043777466,6.946108818054199,3.2294199466705322,TRUE,TRUE,TRUE,0.00024303477109633196,FALSE,7
FOXA1,5.3262872219085695,5.777740478515625,3.5204741954803467,TRUE,TRUE,TRUE,0.0009422390041774305,TRUE,8
SMC1A,5.258779001235961,5.764397144317627,3.2363064289093018,TRUE,TRUE,TRUE,0.0011290377510092308,FALSE,9
ELF1,5.167985343933106,5.732807159423828,2.908698081970215,TRUE,TRUE,TRUE,0.001032692033167708,TRUE,10
SMAD2,5.058597278594971,5.2592010498046875,4.2561821937561035,TRUE,TRUE,TRUE,0.002213216754145086,FALSE,11
ZBTB7A,4.9469760179519655,5.686424255371094,1.9891830682754517,TRUE,TRUE,TRUE,0.0013256810350416948,TRUE,12
EZH2,4.946895503997802,5.308412075042725,3.5008292198181152,TRUE,TRUE,TRUE,0.0019430357784511172,FALSE,13
BRCA1,4.946529912948609,5.19453239440918,3.9545199871063232,TRUE,TRUE,TRUE,0.0019538356532785442,FALSE,14
NFIC,4.91599178314209,5.446723461151123,2.793065071105957,TRUE,TRUE,TRUE,0.0014810177506427687,TRUE,15
FOS,4.9011743545532225,5.255548000335693,3.48367977142334,TRUE,TRUE,TRUE,0.001969207652610124,TRUE,16
E2F1,4.8403167724609375,5.111330509185791,3.7562618255615234,TRUE,TRUE,TRUE,0.00214637524543524,TRUE,17
MAZ,4.79314579963684,5.247326850891113,2.976421594619751,TRUE,TRUE,TRUE,0.0017435672572026176,TRUE,18
CTBP2,4.711022853851318,5.156566619873047,2.9288477897644043,TRUE,TRUE,TRUE,0.003144621960678612,FALSE,19
POLR2L,4.3884172439575195,4.455984592437744,4.118147850036621,TRUE,TRUE,TRUE,0.004750729940009573,FALSE,20
KLF5,4.298880910873413,4.404648303985596,3.8758113384246826,TRUE,FALSE,TRUE,0.008583294525383811,TRUE,21
MCM2,4.243817615509033,4.459768295288086,3.3800148963928223,TRUE,TRUE,TRUE,0.006570176334528956,FALSE,22
MCM4,4.227779293060303,4.365562915802002,3.676644802093506,TRUE,TRUE,TRUE,0.005489277038540738,FALSE,23
MCM5,4.196091985702515,4.413619518280029,3.325981855392456,TRUE,TRUE,TRUE,0.007010426312765365,FALSE,24
CEBPZ,4.159377145767212,4.562816143035889,2.545621156692505,TRUE,FALSE,TRUE,0.006586096843506369,TRUE,25
POLR2I,4.1373677253723145,4.153201580047607,4.074032306671143,TRUE,TRUE,TRUE,0.00653211891347578,FALSE,26
MCM7,4.108258199691773,4.251107215881348,3.5368621349334717,TRUE,TRUE,TRUE,0.006410635593091241,FALSE,27
SOX9,4.104847526550293,4.093197822570801,4.151446342468262,TRUE,TRUE,TRUE,0.015582729683037812,TRUE,28
HDAC1,4.099187898635864,4.16579008102417,3.8327791690826416,TRUE,TRUE,TRUE,0.005355406386167529,FALSE,29
NR3C1,3.9481565475463865,3.9870083332061768,3.7927494049072266,TRUE,TRUE,TRUE,0.0066178232551175305,TRUE,30
FOSB,3.9255685806274414,4.247848987579346,2.636446952819824,TRUE,TRUE,TRUE,0.006455458726494232,TRUE,31
JUNB,3.925522375106812,4.1288981437683105,3.1120193004608154,TRUE,TRUE,TRUE,0.007440042084639764,TRUE,32
MYB,3.8924661159515384,4.126492500305176,2.9563605785369873,TRUE,TRUE,TRUE,0.008243027292082667,TRUE,33
E2F3,3.8870551586151123,3.8927037715911865,3.8644607067108154,TRUE,TRUE,TRUE,0.00737054804244504,TRUE,34
EGFR,3.7946328163146976,4.029160022735596,2.8565239906311035,TRUE,TRUE,TRUE,0.009089242539251878,FALSE,35
RBBP4,3.7562955379486085,3.7545063495635986,3.7634522914886475,TRUE,TRUE,TRUE,0.008652151978333491,FALSE,36
ETS1,3.7517013549804688,3.890354871749878,3.197087287902832,TRUE,TRUE,TRUE,0.009460343703106949,TRUE,37
TRIM28,3.745847463607788,3.8482120037078857,3.3363893032073975,TRUE,TRUE,TRUE,0.011201173853559876,FALSE,38
POLE,3.714211368560791,3.5835189819335938,4.23698091506958,TRUE,FALSE,TRUE,0.008974536193860547,FALSE,39
STAG1,3.6802418708801268,3.5835189819335938,4.06713342666626,TRUE,FALSE,TRUE,0.011813965109092767,FALSE,40
TGFBR2,3.672873306274414,3.5835189819335938,4.030290603637695,TRUE,FALSE,TRUE,0.012965063230641855,FALSE,41
FUS,3.6466807842254636,3.711041212081909,3.3892390727996826,TRUE,TRUE,TRUE,0.014684969355513824,FALSE,42
QKI,3.6451711654663086,3.6135480403900146,3.7716636657714844,TRUE,FALSE,TRUE,0.02743354647206561,FALSE,43
CDH1,3.6412361621856686,3.5835189819335938,3.8721048831939697,TRUE,FALSE,TRUE,0.019616566635746437,FALSE,44
MAP7,3.6402148723602297,3.5835189819335938,3.8669984340667725,TRUE,FALSE,TRUE,0.021131460226616126,FALSE,45
SRRT,3.6369960784912108,3.5835189819335938,3.8509044647216797,TRUE,FALSE,TRUE,0.021150161867874818,FALSE,46
SYNCRIP,3.6314408779144287,3.5835189819335938,3.8231284618377686,TRUE,FALSE,TRUE,0.025033882949353676,FALSE,47
NKTR,3.6306392192840575,3.5835189819335938,3.819120168685913,TRUE,FALSE,TRUE,0.02503941052220748,FALSE,48
PTPRK,3.6277544498443604,3.5835189819335938,3.8046963214874268,TRUE,FALSE,TRUE,0.027565253882890658,FALSE,49
FOXM1,3.6074172496795653,3.831343173980713,2.7117135524749756,TRUE,FALSE,TRUE,0.00986804883437018,TRUE,50
BPTF,3.5944442749023438,3.614936351776123,3.5124759674072266,TRUE,TRUE,TRUE,0.010820441891062918,TRUE,51
MCM3,3.5890176773071287,3.626859188079834,3.4376516342163086,TRUE,FALSE,TRUE,0.011026748382595621,FALSE,52
PTTG1,3.500749206542969,3.8839058876037598,1.9681224822998047,TRUE,FALSE,TRUE,0.012701088731951707,FALSE,53
EIF5B,3.4571815490722657,3.656198263168335,2.6611146926879883,TRUE,FALSE,TRUE,0.0188365804550758,FALSE,54
RORA,3.424068975448608,3.6450090408325195,2.540308713912964,TRUE,TRUE,TRUE,0.017224563318677354,TRUE,55
NCOR1,3.28729248046875,3.1269328594207764,3.9287309646606445,TRUE,TRUE,TRUE,0.011823469961291496,FALSE,56
HNRNPD,3.2557859420776367,3.067850112915039,4.007529258728027,TRUE,TRUE,TRUE,0.013553524829848038,FALSE,57
SNRPD1,3.1912561893463134,3.0816125869750977,3.6298305988311768,TRUE,TRUE,TRUE,0.021220235410105967,FALSE,58
DDX5,3.0252574920654296,2.844825029373169,3.7469873428344727,TRUE,TRUE,TRUE,0.02156897288076215,FALSE,59
SSRP1,3.0075926780700684,2.830979824066162,3.7140440940856934,TRUE,TRUE,TRUE,0.021117292522566878,FALSE,60
CDKN1A,2.9416691303253173,2.6967883110046387,3.9211924076080322,TRUE,TRUE,TRUE,0.020569531916414557,FALSE,61
NCOA3,2.9195426940917963,2.7007930278778076,3.794541358947754,TRUE,TRUE,TRUE,0.017338347828271716,TRUE,62
SUPT16H,2.7977224349975587,2.5727179050445557,3.6977405548095703,TRUE,TRUE,TRUE,0.02128308263008799,FALSE,63
HNRNPK,2.6387640953063967,2.3728432655334473,3.7024474143981934,TRUE,TRUE,FALSE,0.03590738440001645,FALSE,64
HMGB2,2.6307957649230955,2.3705379962921143,3.6718268394470215,TRUE,TRUE,FALSE,0.03280001477751475,FALSE,65
