,influence_score,score_out,score_in,is_driver_regulator,is_MFVS_driver,is_Energy_driver,energy_score,is_TF,
JUND,6.139755201339722,7.0489091873168945,2.5031392574310303,TRUE,TRUE,TRUE,0.0002010894484793586,TRUE,1
EGR1,5.786176013946533,6.484217643737793,2.994009494781494,TRUE,TRUE,TRUE,0.00044519642204728083,TRUE,2
JUN,5.7860579013824465,6.3065056800842285,3.7042667865753174,TRUE,TRUE,TRUE,0.0005137747131165061,TRUE,3
ZEB1,5.7074256420135505,6.639278411865234,1.9800145626068115,TRUE,TRUE,TRUE,0.00041439260169713187,TRUE,4
NFIC,5.674014234542847,6.591046333312988,2.0058858394622803,TRUE,TRUE,TRUE,0.00040001683281908464,TRUE,5
CEBPD,5.549369502067567,6.519079685211182,1.670528769493103,TRUE,TRUE,TRUE,0.00044566129845350684,TRUE,6
TP53,5.541775894165038,5.799501895904541,4.510871887207031,TRUE,TRUE,TRUE,0.0010852351920514986,TRUE,7
FOS,5.067841625213623,5.446879863739014,3.5516886711120605,TRUE,TRUE,TRUE,0.0014616377501281614,TRUE,8
SPI1,5.056315135955811,5.613531112670898,2.827451229095459,TRUE,TRUE,TRUE,0.001481762026009071,TRUE,9
CTBP2,4.4884641647338865,5.0937724113464355,2.0672311782836914,TRUE,TRUE,TRUE,0.0033342215179613835,FALSE,10
ETS1,4.418659210205078,4.835387229919434,2.7517471313476562,TRUE,TRUE,TRUE,0.0035267264002817053,TRUE,11
KLF5,4.415121555328369,4.551583290100098,3.869274616241455,TRUE,FALSE,TRUE,0.008773136712077974,TRUE,12
NR3C1,4.27336950302124,4.5757904052734375,3.063685894012451,TRUE,TRUE,TRUE,0.005085338716141332,TRUE,13
SOX9,4.185755252838135,4.25925874710083,3.8917412757873535,TRUE,FALSE,TRUE,0.015327239830124458,TRUE,14
ATM,4.1822583198547365,4.216552257537842,4.0450825691223145,TRUE,TRUE,TRUE,0.012022477313263362,FALSE,15
SNAI2,4.15062313079834,4.647897720336914,2.161524772644043,TRUE,TRUE,TRUE,0.005475035559148958,TRUE,16
JUNB,4.15002474784851,4.517717361450195,2.6792542934417725,TRUE,TRUE,TRUE,0.005062302094300892,TRUE,17
FOSB,4.1110027790069585,4.517777442932129,2.4839041233062744,TRUE,TRUE,TRUE,0.004984662000419867,TRUE,18
ATF4,4.097832489013673,4.445741653442383,2.706195831298828,TRUE,TRUE,TRUE,0.005601577916017533,TRUE,19
MAPK3,4.06993293762207,4.327864646911621,3.038206100463867,TRUE,FALSE,TRUE,0.0059880791356466635,FALSE,20
IRF1,4.035219144821167,4.375603675842285,2.6736810207366943,TRUE,TRUE,TRUE,0.006321434813421395,TRUE,21
CCND1,3.9738502979278567,4.046772480010986,3.682161569595337,TRUE,TRUE,TRUE,0.006517239432002739,FALSE,22
EBF1,3.949784755706787,4.303470134735107,2.535043239593506,TRUE,TRUE,TRUE,0.006896949987780575,TRUE,23
IKZF3,3.7392463207244875,3.70453143119812,3.878105878829956,TRUE,TRUE,FALSE,0.047561948328061265,TRUE,24
CDH1,3.6659074306488035,3.5835189819335938,3.9954612255096436,TRUE,FALSE,TRUE,0.013639184105629951,FALSE,25
TGFB1,3.659975862503052,3.9517202377319336,2.4929983615875244,TRUE,TRUE,TRUE,0.011851136494421505,FALSE,26
RORA,3.659669828414917,4.039511203765869,2.1403043270111084,TRUE,TRUE,TRUE,0.014626802052296734,TRUE,27
HDAC1,3.656322765350342,3.7951343059539795,3.101076602935791,TRUE,TRUE,TRUE,0.010368854561445762,FALSE,28
TGFBR2,3.652327823638916,3.5835189819335938,3.927563190460205,TRUE,FALSE,TRUE,0.017112369399896892,FALSE,29
PIK3R1,3.643093490600586,3.5835189819335938,3.8813915252685547,TRUE,FALSE,TRUE,0.0196065656855351,FALSE,30
ERBB3,3.6338956356048584,3.5835189819335938,3.835402250289917,TRUE,FALSE,TRUE,0.025016972144547307,FALSE,31
ZFP36L2,3.6191476821899413,3.5835189819335938,3.761662483215332,TRUE,FALSE,TRUE,0.03947258192517811,FALSE,32
COL5A1,3.6160715103149412,3.5835189819335938,3.746281623840332,TRUE,FALSE,TRUE,0.03456789089362402,FALSE,33
