,influence_score,score_out,score_in,is_driver_regulator,is_MFVS_driver,is_Energy_driver,energy_score,is_TF,
JUND,5.646320676803589,6.496772289276123,2.244514226913452,TRUE,TRUE,TRUE,0.0003657864428167173,TRUE,1
MYC,5.642743253707886,6.370697021484375,2.7309281826019287,TRUE,TRUE,TRUE,0.0004574680695484309,TRUE,2
SMARCC1,5.5826879978179935,6.351506233215332,2.5074150562286377,TRUE,TRUE,TRUE,0.0004898011720988558,FALSE,3
HDAC2,5.408809661865234,6.193036079406738,2.2719039916992188,TRUE,TRUE,TRUE,0.0005988304213365765,FALSE,4
NR2F2,5.157023239135743,5.896908760070801,2.197481155395508,TRUE,FALSE,TRUE,0.0008518531949798204,TRUE,5
ATF3,4.651584959030152,5.127181529998779,2.7491986751556396,TRUE,TRUE,TRUE,0.0022676443902210387,TRUE,6
KLF5,4.117673063278199,4.221226215362549,3.703460454940796,TRUE,FALSE,TRUE,0.013692651219442218,TRUE,7
CTBP2,4.094529461860657,4.624197006225586,1.97585928440094,TRUE,TRUE,TRUE,0.005355018076525725,FALSE,8
KDM5B,4.048907089233398,4.539054870605469,2.088315963745117,TRUE,TRUE,TRUE,0.004724317983084298,TRUE,9
SOX9,3.9495622634887697,3.9986839294433594,3.75307559967041,TRUE,FALSE,TRUE,0.029665148285977678,TRUE,10
NR3C1,3.7889012813568117,3.9893410205841064,2.987142324447632,TRUE,TRUE,TRUE,0.00869111411090081,TRUE,11
TRIM28,3.7629022598266606,4.124322414398193,2.3172216415405273,TRUE,TRUE,TRUE,0.008390821580778316,FALSE,12
IKZF3,3.7027658462524413,3.661022424697876,3.869739532470703,TRUE,TRUE,TRUE,0.07140286310121013,TRUE,13
CHD7,3.6945858001708984,3.7223525047302246,3.5835189819335938,TRUE,TRUE,TRUE,0.062027685113817385,FALSE,14
ELF3,3.6612472534179688,3.6354057788848877,3.764613151550293,TRUE,FALSE,TRUE,0.07230583733694783,TRUE,15
QKI,3.6159016132354735,3.5835189819335938,3.745432138442993,TRUE,FALSE,TRUE,0.03950801726081768,FALSE,16
MAP7,3.6131913661956787,3.5835189819335938,3.7318809032440186,TRUE,FALSE,TRUE,0.039537652131031366,FALSE,17
EIF5B,3.6096776962280273,4.00651216506958,2.0223398208618164,TRUE,FALSE,TRUE,0.02310745355933295,FALSE,18
B2M,3.609225845336914,3.5835189819335938,3.7120532989501953,TRUE,FALSE,TRUE,0.04617794165030063,FALSE,19
AHI1,3.607757091522217,3.5835189819335938,3.704709529876709,TRUE,FALSE,TRUE,0.04619674114467724,FALSE,20
KLF4,3.606071043014526,3.908583164215088,2.3960225582122803,TRUE,TRUE,TRUE,0.011555487692754192,TRUE,21
IL13RA1,3.6036791801452637,3.5835189819335938,3.6843199729919434,TRUE,FALSE,TRUE,0.055498820650598926,FALSE,22
EI24,3.59950966835022,3.5835189819335938,3.6634724140167236,TRUE,FALSE,TRUE,0.06945388499559126,FALSE,23
JUNB,3.407092332839966,3.71462082862854,2.176978349685669,TRUE,TRUE,TRUE,0.013082067185340985,TRUE,24
IRF1,3.405089664459229,3.6716673374176025,2.3387789726257324,TRUE,TRUE,TRUE,0.013503351283853349,TRUE,25
TCF4,3.3436628341674806,3.4519691467285156,2.91043758392334,TRUE,TRUE,TRUE,0.016023879765825616,TRUE,26
RPS18,3.3131181716918947,3.26473331451416,3.506657600402832,TRUE,TRUE,TRUE,0.030530808931867465,FALSE,27
POU2F2,3.199737596511841,3.475384473800659,2.0971500873565674,TRUE,TRUE,TRUE,0.017066036639020538,TRUE,28
RPL32,3.192652320861816,3.1431126594543457,3.390810966491699,TRUE,TRUE,TRUE,0.036053729673972267,FALSE,29
RPL18A,3.187143611907959,3.1375458240509033,3.3855347633361816,TRUE,TRUE,TRUE,0.03611604548566556,FALSE,30
RPS12,3.1751625537872314,3.1104040145874023,3.434196710586548,TRUE,TRUE,TRUE,0.036259800835966506,FALSE,31
RPS19,3.050758075714111,2.9707448482513428,3.3708109855651855,TRUE,TRUE,TRUE,0.04869878828745938,FALSE,32
RPL37,2.992007112503052,2.8933472633361816,3.3866465091705322,TRUE,TRUE,TRUE,0.03662343557805631,FALSE,33
RPL36,2.9915822029113768,2.927290678024292,3.248748302459717,TRUE,TRUE,TRUE,0.04567312235487321,FALSE,34
EEF1A1,2.9585376739501954,3.0886623859405518,2.4380388259887695,TRUE,TRUE,TRUE,0.06449097088267758,FALSE,35
POLR2L,2.937230634689331,3.018009901046753,2.6141135692596436,TRUE,TRUE,TRUE,0.03199509240905761,FALSE,36
RPL18,2.927704524993896,2.8833227157592773,3.105231761932373,TRUE,TRUE,TRUE,0.0598644266157586,FALSE,37
RPS5,2.9154834747314453,2.8533337116241455,3.1640825271606445,TRUE,TRUE,TRUE,0.06170827562996641,FALSE,38
RORA,2.9127047061920166,3.127032518386841,2.0553934574127197,TRUE,TRUE,TRUE,0.038625365935265873,TRUE,39
RPS24,2.8926968574523926,2.8189117908477783,3.1878371238708496,TRUE,TRUE,TRUE,0.043708578431632734,FALSE,40
RPL28,2.8445514678955077,2.7663140296936035,3.157501220703125,TRUE,FALSE,TRUE,0.055892196716819526,FALSE,41
TGFB1,2.8086886405944824,2.9240782260894775,2.347130298614502,TRUE,TRUE,TRUE,0.04123602955826544,FALSE,42
RPL13A,2.8074600219726564,2.7335164546966553,3.10323429107666,TRUE,TRUE,TRUE,0.06961240220831516,FALSE,43
DDX5,2.7900045871734616,2.865689992904663,2.4872629642486572,TRUE,FALSE,TRUE,0.05192638315070873,FALSE,44
CCND1,2.748751449584961,2.6845405101776123,3.0055952072143555,TRUE,TRUE,TRUE,0.025772699624584488,FALSE,45
RPS16,2.7285206794738768,2.640761137008667,3.079558849334717,TRUE,TRUE,TRUE,0.0737591290635529,FALSE,46
SNRPD1,2.6772355079650882,2.7216813564300537,2.4994521141052246,TRUE,TRUE,TRUE,0.06061401237027403,FALSE,47
HOXA9,2.6742641925811768,2.8899717330932617,1.811434030532837,TRUE,FALSE,TRUE,0.03899437953936766,TRUE,48
NFKBIA,2.646255826950073,2.6919209957122803,2.463595151901245,TRUE,TRUE,TRUE,0.03858885168357031,FALSE,49
RPL29,2.6445265769958493,2.558053731918335,2.990417957305908,TRUE,TRUE,TRUE,0.08345175338401861,FALSE,50
RPL7A,2.642426872253418,2.5573461055755615,2.9827499389648438,TRUE,TRUE,TRUE,0.08351806514381518,FALSE,51
RPL12,2.6146644115448,2.5229480266571045,2.981529951095581,TRUE,FALSE,TRUE,0.08724922171228638,FALSE,52
RPS15,2.5941006660461428,2.4840874671936035,3.034153461456299,TRUE,TRUE,TRUE,0.0911020431543962,FALSE,53
