,influence_score,score_out,score_in,is_driver_regulator,is_MFVS_driver,is_Energy_driver,energy_score,is_TF,
TAF7,5.7747052192687995,6.590051174163818,2.5133213996887207,TRUE,TRUE,TRUE,0.00043950941224174,FALSE,1
EGR1,5.754069995880128,6.408086776733398,3.138002872467041,TRUE,TRUE,TRUE,0.0005073451028073196,TRUE,2
ELF1,5.690467405319214,6.6252946853637695,1.9511582851409912,TRUE,TRUE,TRUE,0.0003921824543891428,TRUE,3
JUN,5.66212329864502,6.1682305335998535,3.6376943588256836,TRUE,TRUE,TRUE,0.0006235029244612315,TRUE,4
CEBPD,5.57718858718872,6.405574321746826,2.263645648956299,TRUE,TRUE,TRUE,0.0005035966214716367,TRUE,5
MAZ,5.537593269348145,6.394237518310547,2.111016273498535,TRUE,TRUE,TRUE,0.0004669967998708679,TRUE,6
ZBTB7A,5.221222662925721,6.039289474487305,1.9489554166793823,TRUE,TRUE,TRUE,0.0008778095779935051,TRUE,7
SPI1,5.035841941833496,5.549445629119873,2.9814271926879883,TRUE,TRUE,TRUE,0.001499469551197771,TRUE,8
ATF3,5.034556531906128,5.539381980895996,3.0152547359466553,TRUE,TRUE,TRUE,0.0014251227626004268,TRUE,9
STAT3,5.0060642719268795,5.362800121307373,3.5791208744049072,TRUE,TRUE,TRUE,0.0016586424888207045,TRUE,10
FOS,4.9949311256408695,5.361273765563965,3.5295605659484863,TRUE,TRUE,TRUE,0.0016908289457456265,TRUE,11
HNF4G,4.902848410606385,5.761223316192627,1.4693487882614136,TRUE,FALSE,TRUE,0.0012702722678327985,TRUE,12
TCF7L2,4.4437157154083256,4.597506046295166,3.828554391860962,TRUE,TRUE,TRUE,0.006671784035618904,TRUE,13
ETS1,4.368872261047364,4.774173259735107,2.7476682662963867,TRUE,TRUE,TRUE,0.0038960045698449796,TRUE,14
KLF5,4.354964590072632,4.482751369476318,3.8438174724578857,TRUE,FALSE,TRUE,0.009252305448661543,TRUE,15
