,influence_score,score_out,score_in,is_driver_regulator,is_MFVS_driver,is_Energy_driver,energy_score,is_TF,
CREB1,6.652323818206788,7.635776519775391,2.718513011932373,TRUE,TRUE,TRUE,9.476054497723351e-05,TRUE,1
REST,6.562279510498047,7.513286113739014,2.7582530975341797,TRUE,TRUE,TRUE,0.00011605826327241566,TRUE,2
RAD21,6.552794408798218,7.244624614715576,3.785473585128784,TRUE,TRUE,TRUE,0.00016965584381819612,FALSE,3
ELF1,6.407266998291016,7.408313274383545,2.4030818939208984,TRUE,FALSE,TRUE,0.0001500665772330042,TRUE,4
JUN,6.276417922973633,6.820531845092773,4.09996223449707,TRUE,TRUE,TRUE,0.0003151065514174201,TRUE,5
EGR1,6.268936443328858,6.999741554260254,3.3457159996032715,TRUE,TRUE,TRUE,0.00025705996958542537,TRUE,6
ATF2,6.263218355178833,6.8424882888793945,3.946138620376587,TRUE,TRUE,TRUE,0.00030161537099635807,TRUE,7
ZEB1,6.161768388748169,7.06685209274292,2.541433572769165,TRUE,TRUE,TRUE,0.0002088683518770253,TRUE,8
BHLHE40,6.109164190292359,6.876802921295166,3.038609266281128,TRUE,TRUE,TRUE,0.00028495628613976553,TRUE,9
HNF4A,6.070211601257324,6.88956880569458,2.792782783508301,TRUE,TRUE,TRUE,0.00030081212558167155,TRUE,10
ATF3,5.648162078857422,6.232438564300537,3.311056137084961,TRUE,TRUE,TRUE,0.000649264650933214,TRUE,11
SMARCA2,5.283602237701416,5.785998821258545,3.2740159034729004,TRUE,TRUE,TRUE,0.0010615279653087527,FALSE,12
STAT1,5.281597518920898,5.6351447105407715,3.8674087524414062,TRUE,TRUE,TRUE,0.0012810344231884113,TRUE,13
NFKB1,5.263475704193116,5.5356831550598145,4.174645900726318,TRUE,TRUE,TRUE,0.001285256243586862,TRUE,14
RFX5,5.242418527603149,5.965135097503662,2.3515522480010986,TRUE,FALSE,TRUE,0.0008169415709723364,TRUE,15
SREBF1,5.163759040832519,5.651064872741699,3.214535713195801,TRUE,TRUE,TRUE,0.0012231094881889986,TRUE,16
SATB1,5.119888114929199,5.629724502563477,3.08054256439209,TRUE,TRUE,TRUE,0.0013869924439865128,TRUE,17
GATA3,5.043232583999633,5.674668312072754,2.5174896717071533,TRUE,TRUE,TRUE,0.001453839920676828,TRUE,18
PPARG,4.992170619964599,5.243322849273682,3.9875617027282715,TRUE,TRUE,TRUE,0.00183749458567912,TRUE,19
CTBP2,4.837955904006957,5.241468906402588,3.2239038944244385,TRUE,TRUE,TRUE,0.0024598494147147596,FALSE,20
POLR2G,4.765131187438965,4.902223587036133,4.216761589050293,TRUE,TRUE,TRUE,0.0029273832750511997,FALSE,21
