,influence_score,score_out,score_in,is_driver_regulator,is_MFVS_driver,is_Energy_driver,energy_score,is_TF,
MAX,7.038175106048585,7.8033599853515625,3.97743558883667,TRUE,TRUE,TRUE,7.441598187699797e-05,TRUE,1
EP300,6.9788103103637695,7.484023094177246,4.957959175109863,TRUE,TRUE,TRUE,0.00010695813330104151,FALSE,2
CREB1,6.718162250518799,7.704188346862793,2.7740578651428223,TRUE,FALSE,TRUE,9.155780209644336e-05,TRUE,3
RAD21,6.564337491989136,7.252041816711426,3.8135201930999756,TRUE,TRUE,TRUE,0.00016904718317592004,FALSE,4
ELF1,6.405059719085694,7.407760143280029,2.3942580223083496,TRUE,FALSE,TRUE,0.00014609204139070237,TRUE,5
BHLHE40,6.250928497314454,7.058692455291748,3.0198726654052734,TRUE,FALSE,TRUE,0.0002288337633723012,TRUE,6
BACH1,5.96138563156128,6.754021644592285,2.790841579437256,TRUE,TRUE,TRUE,0.00035009109453079,TRUE,7
FOXP1,5.942584848403931,6.652407169342041,3.1032955646514893,TRUE,TRUE,TRUE,0.0003741565596352207,TRUE,8
HNF4A,5.911452388763427,6.638883590698242,3.00172758102417,TRUE,TRUE,TRUE,0.000385661902918557,TRUE,9
SMARCA2,5.670482254028321,6.354757308959961,2.933382034301758,TRUE,TRUE,TRUE,0.0005966114833623101,FALSE,10
HIF1A,5.526762676239014,5.870846748352051,4.150426387786865,TRUE,TRUE,TRUE,0.0010483263695603832,TRUE,11
STAT3,5.439298534393311,5.787292003631592,4.0473246574401855,TRUE,TRUE,TRUE,0.001007523991612947,TRUE,12
TCF12,5.422493982315063,6.008397579193115,3.0788795948028564,TRUE,TRUE,TRUE,0.0008049050610307669,TRUE,13
FOS,5.401462125778198,5.810568332672119,3.7650372982025146,TRUE,TRUE,TRUE,0.000976194294358064,TRUE,14
CHD2,5.346294307708741,6.133714199066162,2.1966147422790527,TRUE,TRUE,TRUE,0.0006992401844725514,FALSE,15
NFKB1,5.269401931762696,5.549856662750244,4.1475830078125,TRUE,TRUE,TRUE,0.0012705007129068116,TRUE,16
CHD1,5.182207489013672,5.689807415008545,3.1518077850341797,TRUE,TRUE,TRUE,0.0011153963254828911,FALSE,17
STAT1,5.115489721298218,5.46081018447876,3.73420786857605,TRUE,TRUE,TRUE,0.0014744844927156513,TRUE,18
GATA3,4.981589126586914,5.543693542480469,2.7331714630126953,TRUE,TRUE,TRUE,0.0015876210307396732,TRUE,19
KLF5,4.856340980529786,5.0868611335754395,3.934260368347168,TRUE,FALSE,TRUE,0.0033468806398964128,TRUE,20
SATB1,4.697897434234619,5.021440029144287,3.4037270545959473,TRUE,FALSE,TRUE,0.0024989893476527643,TRUE,21
CREBBP,4.525544929504394,4.558062553405762,4.395474433898926,TRUE,TRUE,TRUE,0.0028691634659442156,FALSE,22
MAPK1,4.496353101730347,4.658320903778076,3.8484818935394287,TRUE,TRUE,TRUE,0.0033719230842529416,FALSE,23
RUNX1,4.433004474639893,4.734218597412109,3.2281479835510254,TRUE,TRUE,TRUE,0.003567697032319017,TRUE,24
MBD4,4.42774510383606,4.927478313446045,2.428812265396118,TRUE,FALSE,TRUE,0.003618931322146342,TRUE,25
JUNB,4.423424577713012,4.763289451599121,3.063965082168579,TRUE,TRUE,TRUE,0.0036319827828540183,TRUE,26
STAT5A,4.395471858978271,4.8132219314575195,2.7244715690612793,TRUE,FALSE,TRUE,0.003860112727521928,TRUE,27
CCND1,4.272484683990479,4.293381690979004,4.188896656036377,TRUE,TRUE,TRUE,0.004109500802553457,FALSE,28
FOSB,4.2167294263839725,4.818171501159668,1.810961127281189,TRUE,TRUE,TRUE,0.0038524350145033187,TRUE,29
NR3C1,4.187075185775757,4.247433185577393,3.945643186569214,TRUE,TRUE,TRUE,0.0045994030041222435,TRUE,30
