,influence_score,score_out,score_in,is_driver_regulator,is_MFVS_driver,is_Energy_driver,energy_score,is_TF,
MYC,6.615026473999023,7.3864545822143555,3.5293140411376953,TRUE,TRUE,TRUE,0.0001346731747822746,TRUE,1
SMARCC1,6.600251626968384,7.447543621063232,3.2110836505889893,TRUE,TRUE,TRUE,0.0001257987045287633,FALSE,2
MYBL2,6.568155288696289,7.2260823249816895,3.9364471435546875,TRUE,TRUE,TRUE,0.00018453111206825933,TRUE,3
YY1,6.530836915969849,7.368572235107422,3.1798956394195557,TRUE,TRUE,TRUE,0.00013141130459272632,TRUE,4
RAD21,6.450414752960205,7.101185321807861,3.84733247756958,TRUE,FALSE,TRUE,0.00022009138042075363,FALSE,5
JUND,6.376028394699097,7.337594985961914,2.529762029647827,TRUE,FALSE,TRUE,0.00014338984257967701,TRUE,6
HDAC2,6.354259824752807,7.222229480743408,2.8823812007904053,TRUE,TRUE,TRUE,0.00017913403156805883,FALSE,7
ELF1,6.310704469680786,7.317094326019287,2.2851450443267822,TRUE,TRUE,TRUE,0.00016238811169228277,TRUE,8
SMARCA4,5.445166492462159,6.0078277587890625,3.194521427154541,TRUE,TRUE,TRUE,0.000888853990342048,FALSE,9
E2F1,5.405401706695557,5.861447811126709,3.5812172889709473,TRUE,TRUE,TRUE,0.0009678571265610449,TRUE,10
BRCA1,5.132873773574829,5.481513500213623,3.7383148670196533,TRUE,TRUE,TRUE,0.001464503234865441,FALSE,11
MAZ,5.1024861335754395,5.788445472717285,2.3586487770080566,TRUE,FALSE,TRUE,0.001140058175176572,TRUE,12
MXI1,5.047400712966919,5.63755464553833,2.6867849826812744,TRUE,TRUE,TRUE,0.0012884907462414072,TRUE,13
EZH2,4.881147003173828,5.241168975830078,3.441059112548828,TRUE,TRUE,TRUE,0.0020317605566696055,FALSE,14
SMC1A,4.8001211643219,5.359863758087158,2.5611507892608643,TRUE,TRUE,TRUE,0.0019317467125605453,FALSE,15
FOS,4.715693664550781,5.1613593101501465,2.9330310821533203,TRUE,TRUE,TRUE,0.002258405517304484,TRUE,16
POLR2L,4.579714775085449,4.744477272033691,3.9206647872924805,TRUE,TRUE,TRUE,0.0031444924659405696,FALSE,17
CTBP2,4.478960371017456,4.9392290115356445,2.637885808944702,TRUE,FALSE,TRUE,0.004248152989959806,FALSE,18
ETS1,4.454048681259156,4.823914051055908,2.9745872020721436,TRUE,TRUE,TRUE,0.0035364688295603844,TRUE,19
FOSL2,4.411029529571533,4.836289882659912,2.7099881172180176,TRUE,FALSE,TRUE,0.003980703597625453,TRUE,20
ARID3A,4.381666040420532,4.845516681671143,2.526263475418091,TRUE,FALSE,TRUE,0.003235653738466339,TRUE,21
POLR2I,4.3597735404968265,4.476418972015381,3.8931918144226074,TRUE,TRUE,TRUE,0.0040511041552451265,FALSE,22
HNF4A,4.327761697769165,4.676624298095703,2.9323112964630127,TRUE,TRUE,TRUE,0.004526725003236994,TRUE,23
E2F3,4.307185554504395,4.44320011138916,3.763127326965332,TRUE,TRUE,TRUE,0.004113547850336366,TRUE,24
POLR2D,4.29174690246582,4.364010334014893,4.002693176269531,TRUE,TRUE,TRUE,0.0041544615346932184,FALSE,25
POU2F1,4.272762632369995,4.507371425628662,3.334327459335327,TRUE,TRUE,TRUE,0.004140354135248419,TRUE,26
MYB,4.24701943397522,4.581433296203613,2.9093639850616455,TRUE,TRUE,TRUE,0.004922414312492345,TRUE,27
HDAC1,4.236632347106934,4.440567970275879,3.4208898544311523,TRUE,TRUE,TRUE,0.004617424406307227,FALSE,28
CEBPZ,4.215961599349976,4.531932830810547,2.9520766735076904,TRUE,TRUE,TRUE,0.006465998160426572,TRUE,29
MCM4,4.208923196792602,4.405728340148926,3.4217026233673096,TRUE,TRUE,TRUE,0.005678605845536062,FALSE,30
CCND1,4.197366762161255,4.318376541137695,3.713327646255493,TRUE,TRUE,TRUE,0.004749797596633376,FALSE,31
MCM5,4.191964960098266,4.454250335693359,3.1428234577178955,TRUE,TRUE,TRUE,0.0071628182542682285,FALSE,32
SOX9,4.1118183612823485,4.173693656921387,3.8643171787261963,TRUE,FALSE,TRUE,0.02234132338842269,TRUE,33
MCM7,4.076683855056762,4.24245023727417,3.413618326187134,TRUE,TRUE,TRUE,0.0065608319211520215,FALSE,34
KLF5,4.061032724380493,4.099124431610107,3.908665895462036,TRUE,FALSE,TRUE,0.020367688570820497,TRUE,35
NR3C1,3.9772854328155516,4.059828758239746,3.6471121311187744,TRUE,TRUE,TRUE,0.006186755054263782,TRUE,36
FUS,3.939653015136719,4.060520648956299,3.4561824798583984,TRUE,TRUE,TRUE,0.009235300378777645,FALSE,37
MCM6,3.8207647800445557,3.9926698207855225,3.1331446170806885,TRUE,TRUE,TRUE,0.01079893251698253,FALSE,38
RBBP4,3.797513437271118,3.90360951423645,3.37312912940979,TRUE,TRUE,TRUE,0.008014936316661957,FALSE,39
CHD4,3.7938963890075685,3.7325222492218018,4.039392948150635,TRUE,TRUE,FALSE,0.03164032625265569,FALSE,40
JUNB,3.7789876937866214,4.027207851409912,2.786107063293457,TRUE,TRUE,TRUE,0.008792148557397553,TRUE,41
TCERG1,3.7639589309692383,3.6842689514160156,4.082718849182129,TRUE,TRUE,FALSE,0.04229779657132671,FALSE,42
SUZ12,3.7332263469696043,3.890613317489624,3.1036784648895264,TRUE,TRUE,TRUE,0.008554218394818366,FALSE,43
DDX54,3.7101595401763916,3.9173765182495117,2.881291627883911,TRUE,TRUE,TRUE,0.012683199546449295,FALSE,44
SMC3,3.7048932552337646,3.840480089187622,3.162545919418335,TRUE,FALSE,TRUE,0.01098515257496598,FALSE,45
ING1,3.704311561584473,3.609351634979248,4.084151268005371,TRUE,FALSE,TRUE,0.011737200937214632,FALSE,46
POLE,3.6887708663940426,3.5835189819335938,4.10977840423584,TRUE,FALSE,TRUE,0.010843717488851372,FALSE,47
IKZF3,3.6767295837402347,3.6100046634674072,3.943629264831543,TRUE,FALSE,TRUE,0.01599886857957517,TRUE,48
FOXM1,3.673243999481201,3.895473003387451,2.784327983856201,TRUE,FALSE,TRUE,0.00939571146301367,TRUE,49
TRIM28,3.6655447483062744,3.752544403076172,3.3175461292266846,TRUE,TRUE,TRUE,0.011050809836042577,FALSE,50
NAT10,3.6634254455566406,3.5835189819335938,3.983051300048828,TRUE,FALSE,TRUE,0.015164916337528415,FALSE,51
CDH1,3.652056169509888,3.5835189819335938,3.9262049198150635,TRUE,FALSE,TRUE,0.01711364228407947,FALSE,52
MSH6,3.650392770767212,3.5835189819335938,3.9178879261016846,TRUE,FALSE,TRUE,0.01826286994037226,FALSE,53
MYO1B,3.6503326892852783,3.5835189819335938,3.9175875186920166,TRUE,FALSE,TRUE,0.018263170532149278,FALSE,54
DIAPH1,3.6499827861785885,3.5835189819335938,3.9158380031585693,TRUE,FALSE,TRUE,0.018264921318038085,FALSE,55
SRRT,3.641427421569824,3.5835189819335938,3.873061180114746,TRUE,FALSE,TRUE,0.021124423719941006,FALSE,56
SYNCRIP,3.637073278427124,3.5835189819335938,3.851290464401245,TRUE,FALSE,TRUE,0.02291218901621425,FALSE,57
PTTG1,3.5883183002471926,3.9761204719543457,2.037109613418579,TRUE,FALSE,TRUE,0.011349253467120039,FALSE,58
RBBP7,3.566212511062622,3.754415988922119,2.813398599624634,TRUE,TRUE,TRUE,0.011041336425096204,FALSE,59
HNRNPD,3.5190624713897702,3.4005260467529297,3.993208169937134,TRUE,TRUE,TRUE,0.012172200745540986,FALSE,60
DDX5,3.5154805660247805,3.4505395889282227,3.7752444744110107,TRUE,TRUE,TRUE,0.01289928237918955,FALSE,61
SNRPD1,3.5095493316650392,3.4222490787506104,3.858750343322754,TRUE,TRUE,TRUE,0.01262946085906596,FALSE,62
FOSB,3.4508440256118775,3.8179683685302734,1.9823466539382935,TRUE,TRUE,TRUE,0.012217596088026675,TRUE,63
POLR2H,3.3167435169219974,3.2340734004974365,3.6474239826202393,TRUE,TRUE,TRUE,0.016336723552126283,FALSE,64
SUPT16H,3.21925745010376,3.1009151935577393,3.692626476287842,TRUE,TRUE,TRUE,0.012814549241439498,FALSE,65
GTF2F2,2.9827630043029787,2.81585431098938,3.650397777557373,TRUE,TRUE,TRUE,0.021506707215423523,FALSE,66
